H012 vendor live SDMMC0 sample kernel=5.15.147-21-a733
index ns GCTRL CLKCR CMDR RINTR STAS FTRGL THLD DMAC DLBA IDST IDIE CHDA CBDA CBCR BBCR DESC_PHYS DESC0 DESC1 DESC2 DESC3 DESC4 DESC5 DESC6 DESC7
000 1781109909122093924 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
001 1781109909127367509 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
002 1781109909132586052 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
003 1781109909137768721 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
004 1781109909142929430 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
005 1781109909148242474 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
006 1781109909153533434 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
007 1781109909158843810 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
008 1781109909164074103 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000e000 0x00000002 0x3fc60800 0x42eb3958 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
009 1781109909169378938 0x20000830 0x00030000 0x00003352 0x0001002c 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
010 1781109909174671231 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
011 1781109909179908483 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
012 1781109909185190526 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
013 1781109909190494986 0x20000830 0x00030000 0x00003352 0x00010024 0x00029402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3aa0 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
014 1781109909195716071 0x20000830 0x00030000 0x00003352 0x00010024 0x00049402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3bfb 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
015 1781109909201015447 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
016 1781109909206302449 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
017 1781109909211539159 0x20000830 0x00030000 0x00003352 0x00010024 0x00049402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3be8 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
018 1781109909216842660 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
019 1781109909222160204 0x20000830 0x00030000 0x00003352 0x00010024 0x00029402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000e000 0x00000002 0x3fc60800 0x42eb3bc0 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
020 1781109909227385080 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
021 1781109909232659165 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
022 1781109909237945000 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
023 1781109909243181626 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
024 1781109909248386753 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
025 1781109909253599463 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
026 1781109909258802381 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
027 1781109909264028091 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
028 1781109909269306509 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
029 1781109909274610844 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3860 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
030 1781109909279834554 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
031 1781109909285135014 0x20000010 0x00030000 0x00003352 0x00010000 0x000065b6 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
032 1781109909290424849 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
033 1781109909295664392 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
034 1781109909300945852 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
035 1781109909306251145 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
036 1781109909311475730 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
037 1781109909316784190 0x20000830 0x00030000 0x00003352 0x00010024 0x00049402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3b50 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
038 1781109909322088899 0x20000010 0x00030000 0x00003352 0x00010000 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
039 1781109909327329026 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
040 1781109909332539319 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3890 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
041 1781109909337756029 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
042 1781109909342959447 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
043 1781109909348161240 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
044 1781109909353439825 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
045 1781109909358742035 0x20000830 0x00030000 0x00003352 0x00010024 0x000c9402 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3c00 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
046 1781109909363963787 0x20000830 0x00030000 0x00003352 0x0001402c 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
047 1781109909369284038 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
048 1781109909374573831 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
049 1781109909379809666 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x0000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
050 1781109909385087293 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
051 1781109909390389919 0x20000010 0x00030000 0x00003352 0x00010000 0x00006106 0x200700f8 0x02000001 0x00000200 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
052 1781109909395617088 0x20000830 0x00030000 0x00003352 0x00010004 0x00009506 0x200700f8 0x02000001 0x00000282 0x3fc60800 0x0000a000 0x00000002 0x3fc60800 0x42eb3800 0x00000006 0x00000000 0xff182000 0x8000001c 0x00001000 0x42eb3800 0x3fc60804 0x00000012 0x00001000 0x429d8c00 0x3fc60808
