H014 vendor live SDMMC0 GCTRL/TMOUT sample kernel=5.15.147-21-a733
index ns GCTRL TMOUT CMDR RINTR STAS DMAC DLBA IDST CHDA CBDA CBCR BBCR
000 1781110899892143318 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
001 1781110899897537243 0x20000830 0x01312dff 0x00003352 0x00010024 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
002 1781110899902889084 0x20000830 0x01312dff 0x00003352 0x00010024 0x00029402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
003 1781110899908175592 0x20000830 0x01312dff 0x00003352 0x00010024 0x000a9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
004 1781110899913385891 0x20000830 0x01312dff 0x00003352 0x00010024 0x000e9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
005 1781110899918669274 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
006 1781110899923956698 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
007 1781110899929159039 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
008 1781110899934403172 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
009 1781110899939630554 0x20000830 0x01312dff 0x00003352 0x0001402c 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
010 1781110899944842604 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
011 1781110899950112570 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
012 1781110899955338494 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
013 1781110899960550460 0x20000830 0x01312dff 0x00003352 0x00010024 0x00069402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
014 1781110899965751926 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
015 1781110899970963767 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
016 1781110899976175983 0x20000830 0x01312dff 0x00003352 0x00010024 0x000c9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
017 1781110899981377532 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
018 1781110899986590331 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
019 1781110899991801672 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
